epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.089,1.50463,1.20829,1.14586,0.85052,0.61158,0.69424,0.40683,1.37528,0.86795,1.07327,0.000666268,0.000666268,0.000666268
2,517.831,1.42024,0.95579,1.10602,0.85724,0.62695,0.71111,0.42426,1.33689,0.82393,1.08164,0.00126695,0.00126695,0.00126695
3,759.72,1.38412,0.91333,1.09663,0.86504,0.63064,0.71486,0.42449,1.34463,0.78621,1.07227,0.00180164,0.00180164,0.00180164
4,998.735,1.34893,0.86383,1.08038,0.87377,0.65045,0.73368,0.44835,1.27522,0.73293,1.04707,0.001703,0.001703,0.001703
5,1236.64,1.32148,0.82627,1.0666,0.88324,0.66162,0.7449,0.4624,1.26106,0.70354,1.03185,0.001604,0.001604,0.001604
6,1474.35,1.29711,0.80006,1.05636,0.87991,0.67774,0.76055,0.47109,1.2311,0.6649,1.02508,0.001505,0.001505,0.001505
7,1711.93,1.28652,0.77629,1.05009,0.88294,0.67754,0.76306,0.47965,1.21892,0.65531,1.01753,0.001406,0.001406,0.001406
8,1950.5,1.26586,0.75804,1.04291,0.87597,0.68781,0.76531,0.48365,1.20468,0.64308,1.01167,0.001307,0.001307,0.001307
9,2189.27,1.25173,0.74644,1.03637,0.88026,0.70168,0.77424,0.48788,1.20151,0.6208,1.00548,0.001208,0.001208,0.001208
10,2427.71,1.24424,0.73109,1.03147,0.88063,0.69842,0.7742,0.48963,1.194,0.62521,1.00148,0.001109,0.001109,0.001109
11,2661.7,1.21264,0.68389,1.02373,0.88288,0.69725,0.77478,0.49321,1.1883,0.61873,1.0066,0.00101,0.00101,0.00101
12,2892.19,1.20232,0.66965,1.01888,0.89178,0.69214,0.77658,0.49432,1.17524,0.61012,0.99786,0.000911,0.000911,0.000911
13,3121.99,1.18839,0.65338,1.01043,0.87987,0.70376,0.78245,0.49992,1.18248,0.59895,0.99824,0.000812,0.000812,0.000812
14,3354.94,1.18291,0.63829,1.00729,0.89307,0.70094,0.78453,0.50205,1.16709,0.58863,0.99301,0.000713,0.000713,0.000713
