epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.304,1.3101,1.61249,1.25147,0.34519,0.45254,0.27596,0.17986,1.37565,3.0579,1.27943,0.000553186,0.000553186,0.000553186
2,545.278,1.39743,1.66969,1.32045,0.38304,0.54359,0.3662,0.22539,1.47335,1.75226,1.45298,0.00105396,0.00105396,0.00105396
3,794.151,1.37328,1.60661,1.33128,0.40317,0.78068,0.44677,0.27904,1.33899,1.47323,1.27488,0.00149973,0.00149973,0.00149973
4,1058.62,1.33625,1.60933,1.2817,0.38679,0.77067,0.42191,0.27347,1.26049,1.53786,1.25918,0.00141945,0.00141945,0.00141945
5,1326.71,1.31763,1.48906,1.27085,0.42267,0.72373,0.45477,0.29684,1.24143,1.52145,1.24009,0.00133693,0.00133693,0.00133693
6,1606.46,1.31017,1.51191,1.29302,0.18581,0.45171,0.18905,0.1222,1.29343,3.95107,1.28111,0.00125442,0.00125442,0.00125442
7,1879.04,1.25781,1.46587,1.25645,0.45116,0.81564,0.47808,0.32792,1.11707,1.31384,1.18344,0.0011719,0.0011719,0.0011719
8,2138.84,1.2244,1.40468,1.23394,0.42493,0.68521,0.43833,0.28809,1.25777,1.43222,1.25004,0.00108938,0.00108938,0.00108938
9,2389.82,1.20513,1.37897,1.21391,0.42031,0.7959,0.46817,0.32848,1.09228,1.29514,1.15167,0.00100687,0.00100687,0.00100687
10,2629.36,1.17715,1.30407,1.18614,0.46217,0.7887,0.48747,0.34735,1.11775,1.33045,1.14799,0.000924352,0.000924352,0.000924352
11,2872.01,1.09116,1.22542,1.15198,0.45863,0.78467,0.49393,0.34796,1.07711,1.23066,1.11315,0.000841835,0.000841835,0.000841835
12,3107.55,1.06335,1.1947,1.13484,0.43931,0.8109,0.47747,0.34664,1.04588,1.28605,1.11586,0.000759318,0.000759318,0.000759318
13,3338.9,1.04353,1.16446,1.13775,0.44112,0.78542,0.47046,0.33687,1.05163,1.23634,1.13525,0.000676802,0.000676802,0.000676802
14,3561.75,1.03133,1.1735,1.11399,0.43769,0.79116,0.45818,0.32371,1.07753,1.2664,1.1165,0.000594286,0.000594286,0.000594286
15,3780.62,1.01237,1.1374,1.08742,0.45558,0.81064,0.4968,0.35328,1.05926,1.1787,1.10619,0.000511769,0.000511769,0.000511769
16,4004.72,0.99437,1.12495,1.08806,0.45303,0.82173,0.48324,0.34952,1.00343,1.15307,1.08311,0.000429253,0.000429253,0.000429253
17,4230.24,0.9437,1.09517,1.06607,0.46931,0.82231,0.47427,0.33966,0.97442,1.13523,1.05391,0.000346736,0.000346736,0.000346736
18,4458.16,0.9311,1.06383,1.05361,0.45238,0.79116,0.4763,0.34916,0.96912,1.15137,1.05066,0.00026422,0.00026422,0.00026422
19,4683.45,0.90395,1.04132,1.03653,0.45945,0.81165,0.48691,0.35709,0.97979,1.12885,1.06027,0.000181703,0.000181703,0.000181703
20,4907.93,0.88015,1.01996,1.03209,0.4648,0.82788,0.4876,0.35461,0.98431,1.12035,1.07137,9.91865e-05,9.91865e-05,9.91865e-05
